123.142998103	23.10524047	0463
123.156481348	23.10335599	0464
123.146233477	23.10959733	0519
123.157351128	23.11302326	0520
123.185766361	23.08702438	0533
123.15630365	23.11502775	0559
123.203150002	23.08216973	0561
123.168669898	23.11712058	0563
123.202590045	23.09692509	0590
123.208474244	23.08637024	0593
123.167472346	23.06625282	0595
123.13335105	23.08065868	0642
123.216666145	23.10104752	0671
123.141801363	23.09169795	0680
123.203895415	23.10905359	0683
123.156540376	23.09735944	0689
123.213252244	23.1018158	1613
123.191394784	23.10901096	1679
123.144505345	23.0716011	1686
123.134956074	23.09647399	1687
123.138973694	23.08146501	1695
123.156824059	23.10260563	1701
123.164740709	23.10940856	1708
123.134310359	23.10219818	1723
123.205853081	23.09193152	1740
123.149836138	23.09489198	1741
123.167226524	23.0679458	1748
123.188195571	23.10902612	1749
