C0001	22.73004117	114.2408795
C0002	22.72704287	114.2996199
C0003	22.70131065	114.2336007
C0004	22.73235925	114.2866672
C0005	22.71839144	114.2575495
C0006	22.75392493	114.3819253
C0007	22.72404221	114.2721836
C0008	22.71937803	114.2732478
C0009	22.73028254	114.2304955
C0010	22.7187968	114.267027
C0011	22.65746229	114.3476957
C0012	22.71611614	114.2474716
C0013	22.72986374	114.2939012
C0014	22.746174	114.285869
C0015	22.7333086	114.2943071
C0016	22.74551648	114.2744633
C0017	22.72282036	114.2654813
C0018	22.72492675	114.2731306
C0019	22.74551648	114.2744633
C0020	22.75335785	114.285655
C0021	22.72554895	114.2724564
C0022	22.73048185	114.2297108
C0023	22.75031119	114.2734629
C0024	22.73832325	114.2906521
C0025	22.72204702	114.2629243
C0026	22.72837483	114.2928568
C0027	22.73756811	114.2823889
C0028	22.73188624	114.3028398
C0029	22.74778137	114.2747219
C0030	22.73658843	114.2961774
C0031	22.74121631	114.2620083
C0032	22.70831192	114.2434107
C0033	22.73658843	114.2961774
C0034	22.65746229	114.3476957
C0035	22.73385612	114.2613534
C0036	22.73305308	114.3011875
C0037	22.732721	114.261045
C0038	22.73287891	114.2611436
C0039	22.65746229	114.3476957
C0040	22.73581545	114.2735094
C0041	22.73156241	114.2875823
C0042	22.7167929	114.2703179
C0043	22.72610429	114.2414213
C0044	22.70601576	114.2416887
C0045	22.70584501	114.2428698
C0046	22.65746229	114.3476957
C0047	22.71886556	114.2658133
C0048	22.73806842	114.2664469
C0049	22.73841361	114.2769492
C0050	22.69864675	114.2417616
C0051	22.719527	114.265143
C0052	22.65746229	114.3476957
C0053	22.72230496	114.2514128
C0054	22.71929156	114.2602181
C0055	22.73305324	114.2761711
C0056	22.71670893	114.2452346
C0057	22.72171594	114.2780743
C0058	22.73079366	114.2683862
C0059	22.71392643	114.237995
C0060	22.72085613	114.247361
C0061	22.73008534	114.3031914
C0062	22.72504817	114.2923585
C0063	22.71013195	114.2495414
C0064	22.73597693	114.2767908
C0065	22.73319874	114.2894757
C0066	22.72256534	114.2786661
C0067	22.73007657	114.3032102
C0068	22.72538813	114.2953439
C0069	22.73815392	114.2569106
C0070	22.72951735	114.2401706
C0071	22.72391473	114.2957052
C0072	22.72951735	114.2401706
C0073	22.72370574	114.2917726
C0074	22.74288185	114.2883525
C0075	22.7243195	114.261971
C0076	22.72428899	114.2620111
C0077	22.65746229	114.3476957
C0078	22.72426525	114.296727
C0079	22.70931634	114.2465701
C0080	22.73052926	114.2806588
C0081	22.72020559	114.2920284
C0082	22.69916025	114.2432151
C0083	22.7870271	114.3308735
